group,session_index,session_name,area,task,analysis,score,n_neurons,n_samples,n_classes,signal_source,scoring
g2post,1,Diez_20221111_008,V1,modality,averaged_trial_response,0.8481481481481481,323,720,3,glm_clean,balanced_accuracy
g2post,1,Diez_20221111_008,V1,trial_type,averaged_trial_response,0.5555555555555556,323,720,8,glm_clean,balanced_accuracy
g2post,1,Diez_20221111_008,AM/PM,visual_direction,averaged_trial_response,0.674074074074074,6,540,2,glm_clean,balanced_accuracy
g2post,1,Diez_20221111_008,AM/PM,auditory_direction,averaged_trial_response,0.5148148148148148,6,540,2,glm_clean,balanced_accuracy
g2post,1,Diez_20221111_008,AM/PM,congruency,averaged_trial_response,0.55,6,360,2,glm_clean,balanced_accuracy
g2post,1,Diez_20221111_008,AM/PM,modality,averaged_trial_response,0.4222222222222222,6,720,3,glm_clean,balanced_accuracy
g2post,1,Diez_20221111_008,AM/PM,trial_type,averaged_trial_response,0.23194444444444445,6,720,8,glm_clean,balanced_accuracy
g2post,2,Duo_20220121_002,V1,visual_direction,averaged_trial_response,0.9888888888888889,379,540,2,glm_clean,balanced_accuracy
g2post,2,Duo_20220121_002,V1,auditory_direction,averaged_trial_response,0.4814814814814815,379,540,2,glm_clean,balanced_accuracy
g2post,2,Duo_20220121_002,V1,congruency,averaged_trial_response,0.5555555555555556,379,360,2,glm_clean,balanced_accuracy
g2post,2,Duo_20220121_002,V1,modality,averaged_trial_response,0.7953703703703703,379,720,3,glm_clean,balanced_accuracy
g2post,2,Duo_20220121_002,V1,trial_type,averaged_trial_response,0.45277777777777767,379,720,8,glm_clean,balanced_accuracy
g2post,2,Duo_20220121_002,A/RL/AL,visual_direction,averaged_trial_response,0.9796296296296297,135,540,2,glm_clean,balanced_accuracy
g2post,2,Duo_20220121_002,A/RL/AL,auditory_direction,averaged_trial_response,0.5037037037037038,135,540,2,glm_clean,balanced_accuracy
g2post,2,Duo_20220121_002,A/RL/AL,congruency,averaged_trial_response,0.475,135,360,2,glm_clean,balanced_accuracy
g2post,2,Duo_20220121_002,A/RL/AL,modality,averaged_trial_response,0.787962962962963,135,720,3,glm_clean,balanced_accuracy
g2post,2,Duo_20220121_002,A/RL/AL,trial_type,averaged_trial_response,0.4652777777777778,135,720,8,glm_clean,balanced_accuracy
g2post,2,Duo_20220121_002,LM,visual_direction,averaged_trial_response,0.5611111111111112,2,540,2,glm_clean,balanced_accuracy
g2post,2,Duo_20220121_002,LM,auditory_direction,averaged_trial_response,0.48888888888888893,2,540,2,glm_clean,balanced_accuracy
g2post,2,Duo_20220121_002,LM,congruency,averaged_trial_response,0.513888888888889,2,360,2,glm_clean,balanced_accuracy
g2post,2,Duo_20220121_002,LM,modality,averaged_trial_response,0.3333333333333333,2,720,3,glm_clean,balanced_accuracy
g2post,2,Duo_20220121_002,LM,trial_type,averaged_trial_response,0.14444444444444446,2,720,8,glm_clean,balanced_accuracy
g2post,3,Nueve_20220907_008,V1,visual_direction,averaged_trial_response,0.9962962962962962,269,540,2,glm_clean,balanced_accuracy
g2post,3,Nueve_20220907_008,V1,auditory_direction,averaged_trial_response,0.5185185185185185,269,540,2,glm_clean,balanced_accuracy
g2post,3,Nueve_20220907_008,V1,congruency,averaged_trial_response,0.46944444444444444,269,360,2,glm_clean,balanced_accuracy
