,NeuronID,Group,BrainRegion,DSI (VIS),DSI (AUD),RCI (VISpref congruent),RCI (VISpref incongruent),RCI (AUDpref congruent),RCI (AUDpref incongruent),RCI (VISnonpref congruent),RCI (VISnonpref incongruent),RCI (AUDnonpref congruent),RCI (AUDnonpref incongruent),pref_VIS,prefVIS_MST+,prefVIS_MST-,nonpref_VIS,nonprefVIS_MST+,nonprefVIS_MST-,pref_AUD,prefAUD_MST+,prefAUD_MST-,nonpref_AUD,nonprefAUD_MST+,nonprefAUD_MST-,pref_VIS_idx,prefVIS_MST+_idx,prefVIS_MST-_idx,nonpref_VIS_idx,nonprefVIS_MST+_idx,nonprefVIS_MST-_idx,pref_AUD_idx,prefAUD_MST+_idx,prefAUD_MST-_idx,nonpref_AUD_idx,nonprefAUD_MST+_idx,nonprefAUD_MST-_idx,NeuronType
2810,546,g2pre,V1,2.083860960317115,0.04184818961156435,0.037628391990125194,0.019588530226073635,0.947519126987848,0.9734847867178996,0.048325809968636974,0.030009482456302836,0.982532401078499,0.962697241669799,2.490643385048654,2.6854099488587146,2.590169032666069,1.172363104770073,1.2914277956250235,1.2449040407662424,-0.03480081772104875,1.2914277956250235,2.590169032666069,0.02366047783176456,2.6854099488587146,1.2449040407662424,7,5,2,6,1,4,0,1,2,3,5,4,V
2811,547,g2pre,V1,0.2297508147087957,0.04432965120289938,0.09497080073356427,0.06141890725385778,0.9751553171374138,0.970212852937814,0.10186182386426551,0.10572330643975401,0.9935198802781352,0.9942747001242842,1.5320411190968442,1.8535758761086762,1.7325486556967866,1.2472464048811602,1.5301578699209064,1.5421506885747596,-0.023315384063265852,1.8535758761086762,1.5421506885747596,0.004973918890168109,1.5301578699209064,1.7325486556967866,6,1,4,7,5,2,0,1,2,3,5,4,V
2812,548,g2pre,V1,0.2686644474073748,0.017143951225270376,0.10052014517636934,0.07692750028171268,0.8228117193742472,0.8387251427737207,0.12091108624746319,0.10254079804187945,0.8537671179264804,0.8262197056257512,1.359119641604796,1.6628927677143457,1.5856536931432026,1.1220873121630661,1.4307541458715947,1.3784994771078911,-0.13907792253617043,1.4307541458715947,1.5856536931432026,-0.13117591721773356,1.6628927677143457,1.3784994771078911,6,1,4,7,5,2,3,5,4,0,1,2,V
2813,549,g2pre,V1,0.0763678152956102,0.05733893090212945,0.1366440811093333,0.10345967094827241,0.8288111017448345,0.8206147257877493,0.18003191261130522,0.1063961848465625,0.8691808191730623,0.8472884224462106,0.9167489877721511,1.2069382835216846,1.1283324392770888,0.8252817895652432,1.1876789640501095,1.0218047505107681,-0.11117466048986319,1.1876789640501095,1.1283324392770888,0.0844705209573191,1.2069382835216846,1.0218047505107681,6,1,4,7,5,2,3,5,4,0,1,2,V
2814,550,g2pre,V1,0.29810608236925135,0.02145710595544635,0.055440787747789586,0.05356461956617297,0.8147986041348466,0.8546801871720169,0.036529571116849506,0.013461925487898523,0.8698475947133085,0.8259847346379329,1.423559782881716,1.5906711185085205,1.5846958514948954,1.1309478837670977,1.2167066987987338,1.161812858034814,0.12416572200496624,1.2167066987987338,1.5846958514948954,0.11072007829905435,1.5906711185085205,1.161812858034814,6,1,4,7,5,2,3,5,4,0,1,2,V
2815,551,g2pre,V1,0.14200648400209237,0.09760960578461578,0.2056400104888958,0.08580456437538907,0.5008827796479556,0.4263863159638014,0.22685833349379436,0.22333580045102797,0.5883521618060112,0.5675120713727486,-0.4785355568291606,-0.7262974235521386,-0.56836434702391,-0.3813076730745886,-0.6050773313650293,-0.6006036170196976,0.24152955587725775,-0.7262974235521386,-0.6006036170196976,0.1568158380654016,-0.6050773313650293,-0.56836434702391,7,5,2,6,1,4,3,5,4,0,1,2,M
2816,552,g2pre,V1,0.04615370668932798,0.26820517928006876,0.011335338269879794,0.015793306007611512,0.8328173238643308,0.8455037787646232,0.0935411245489419,0.06903736359988823,0.9660693202964314,0.9615917040899485,1.6866169303072915,1.725292073005895,1.7407463270296581,1.6370847484779567,1.9749594221157414,1.8798872211132391,0.15737462873421232,1.725292073005895,1.8798872211132391,-0.03408410623550664,1.9749594221157414,1.7407463270296581,7,5,2,6,1,4,3,5,4,0,1,2,V
2817,553,g2pre,V1,0.12396811519381627,0.13792459824473335,-0.05074982239160105,-0.16394620382425656,-0.7669167162607335,-0.30155649434716014,-0.4562108547886263,-0.0897215254199451,0.10706757948927244,-0.29695863251808247,-0.2223814406445195,-0.20089998354522598,-0.1597349147572405,0.10515268645106088,0.03926690238152496,0.08783732796668364,0.29766761949049425,0.03926690238152496,-0.1597349147572405,0.16204079309265174,-0.20089998354522598,0.08783732796668364,6,1,4,7,5,2,3,5,4,0,1,2,A
2818,554,g2pre,V1,0.2650836929506824,0.016832140507078815,-0.2676382404287445,-0.32854792065561056,0.7238462784409103,0.7186720923295069,0.13679849314012432,0.15914369275216705,0.7727377457986979,0.7589938865075181,-0.41981179681339104,-0.24254088934634646,-0.21217413351906203,-0.1721876698404864,-0.22676360276992572,-0.2373654686834208,-0.03885414265813889,-0.24254088934634646,-0.2373654686834208,-0.029070745325097815,-0.22676360276992572,-0.21217413351906203,6,1,4,7,5,2,0,1,2,3,5,4,
2819,555,g2pre,V1,0.006784117431250236,0.16799881027129904,0.06817253091335453,0.47206708618675836,-0.4450612402515836,0.1329751813331898,0.5250613870626246,0.6277126425068935,0.5396145130321226,0.5299663105191087,0.04364645377353783,0.050032806006856965,0.12170203135227471,0.03893906078929948,0.1250360708533826,0.17024913755031512,-0.1302854908428334,0.050032806006856965,0.17024913755031512,-0.03738909440066023,0.1250360708533826,0.12170203135227471,6,1,4,7,5,2,0,1,2,3,5,4,
