session_id,group_id,trial_type,EV_AV_a_full,EV_AV_a_eval,EV_AV_t_full,EV_AV_t_eval,EV_V_a_full,EV_V_a_eval,EV_V_t_full,EV_V_t_eval,EV_A_a_full,EV_A_a_eval,EV_A_t_full,EV_A_t_eval,EV_Motor_a_full,EV_Motor_a_eval,EV_Motor_t_full,EV_Motor_t_eval,EV_Model_a_full,EV_Model_a_eval,EV_Model_t_full,EV_Model_t_eval
8,g1pre,AV+,0.5995607618906456,0.592985562897739,0.06839432535051304,0.0705367650929879,0.3433316168625734,0.2700101800842083,0.0528965202217101,0.04298044023784442,0.169016284626056,0.24188085395320336,0.006359131198358514,0.015917578545466382,0.7195593711058532,0.6563261734950925,0.2548157671596589,0.262685701627686,0.9453704610596891,0.9027006422003058,0.28489384484768354,0.29626513973641133
8,g1pre,AV-,0.6047676749284654,0.5204807746866296,0.0699762681577969,0.0507031735351271,0.3274260181611264,0.2889447662519883,0.05526814334387031,0.043909119720972556,0.18428864694015334,0.138056635940496,0.008768270649360033,0.000621598545654467,0.7287635560531194,0.6927598098445142,0.27132603779228825,0.2911003543167414,0.9382519501854885,0.8209720453155277,0.3051470353323248,0.2986876615589703
0,g1post,V,0.8597488401093345,0.7703940393579466,0.04913022191479066,0.04438845046019946,0.8597488401093345,0.7703940393579466,0.04913022191479066,0.04438845046019946,0.0,0.0,0.0,0.0,0.023856207999015555,0.1518325826382304,0.3567982362801274,0.2640707642073167,0.8728225194609164,0.826540104418234,0.402680200892061,0.31745019689397547
0,g1post,A,0.7506301484628934,0.7795133195360591,0.11882902658033878,0.15727710248445592,0.0,0.0,0.0,0.0,0.7506301484628934,0.7795133195360591,0.11882902658033878,0.15727710248445592,0.47647391327695376,0.39324436179840105,0.303617972165954,0.07601600381808993,0.9341665947720338,0.8911313911219382,0.39025124348200424,0.17159791681187075
0,g1post,AV+,0.855830686911672,0.8280061793247063,0.1580759904625194,0.10963880757986022,0.34397628766491695,0.33502938622660616,0.0561659293609732,0.03380654467562694,0.705957031229328,0.6888515838801859,0.14290360044843187,0.12263643106784661,0.47929403505637713,0.5632458864153271,0.2774968034515485,0.28027543080554784,0.9358218393170359,0.9154027071628701,0.37239249232855465,0.3196062997792246
0,g1post,AV-,0.8660490805854193,0.8554556447889197,0.13157866115766736,0.1685501003644585,0.3470011104375046,0.33375099282356935,0.04674348818072127,0.06419167213544241,0.7160428050832448,0.71833222197826,0.11755584017653997,0.13864942630158916,0.4397435478768169,0.33778879971203823,0.3067465554833183,0.20535390050654023,0.936934978731095,0.913725282650967,0.390751109557851,0.325762432768818
1,g1post,V,0.8587471351958232,0.7793524560795845,0.05472694354658514,0.05321762665568874,0.8587471351958232,0.7793524560795845,0.05472694354658514,0.05321762665568874,0.0,0.0,0.0,0.0,-0.06856281742627424,-0.2238544706435024,0.19224434595015982,0.22228309961738657,0.8424806685030419,0.7123654090533622,0.25528199472903246,0.28786524070944053
1,g1post,A,0.6171324698769407,0.6286586778604029,0.06737374647855265,0.06895672385075746,0.0,0.0,0.0,0.0,0.6171324698769407,0.6286586778604029,0.06737374647855265,0.06895672385075746,0.5046397777724143,0.4487625922321198,0.25092530435142735,0.2680428724896694,0.9341856248666505,0.9061138883714563,0.341889585837581,0.37919244950623054
1,g1post,AV+,0.8456137818887053,0.7325228029183638,0.12000005422684268,0.1150488219444602,0.5513340124615222,0.45809044227200213,0.09385227176488942,0.09905008600049536,0.5535066182974264,0.4606366631219331,0.08313181805236158,0.07884452279521548,0.48712733717041035,0.5072975445349545,0.2532331701973126,0.13662788935059378,0.9625355157045705,0.9464862190012344,0.351380484067231,0.2683418648874496
1,g1post,AV-,0.9106133112647733,0.8889617918368248,0.15905548965319816,0.1586154798565803,0.5461580060069094,0.5063555935106308,0.09655189539130604,0.07632582702704194,0.6389744060792117,0.6118913658006566,0.11177158531974496,0.1313810119119989,0.38022414210007893,0.2524336322065389,0.20883317549190394,0.21869945162768067,0.9559993300968977,0.9522952398629158,0.35094973423644327,0.3899897768719732
