,NeuronID,Group,BrainRegion,DSI (VIS),DSI (AUD),RCI (VISpref congruent),RCI (VISpref incongruent),RCI (AUDpref congruent),RCI (AUDpref incongruent),RCI (VISnonpref congruent),RCI (VISnonpref incongruent),RCI (AUDnonpref congruent),RCI (AUDnonpref incongruent),pref_VIS,prefVIS_MST+,prefVIS_MST-,nonpref_VIS,nonprefVIS_MST+,nonprefVIS_MST-,pref_AUD,prefAUD_MST+,prefAUD_MST-,nonpref_AUD,nonprefAUD_MST+,nonprefAUD_MST-,pref_VIS_idx,prefVIS_MST+_idx,prefVIS_MST-_idx,nonpref_VIS_idx,nonprefVIS_MST+_idx,nonprefVIS_MST-_idx,pref_AUD_idx,prefAUD_MST+_idx,prefAUD_MST-_idx,nonpref_AUD_idx,nonprefAUD_MST+_idx,nonprefAUD_MST-_idx,NeuronType
3217,953,g2pre,V1,0.1747783340932922,0.01212147369811211,0.20338031809700807,-0.07771713807421987,0.4239952198138247,0.12524355777488824,0.14055037113926905,0.22820488160673788,0.06960219279558613,0.20029578088469394,0.2109236909092598,0.31862308203864975,0.1805031194431501,-0.10418024733796061,-0.13825454776704127,-0.16578841365809505,-0.12888274888725323,0.31862308203864975,-0.16578841365809505,-0.12026127932880572,-0.13825454776704127,0.1805031194431501,6,1,4,7,5,2,0,1,2,3,5,4,V
3218,954,g2pre,V1,0.3402063140179052,0.06754154720764713,-0.049832726733491234,0.09751614342944499,0.04426378125559657,-0.07506256214648371,0.30377793980284695,0.23274227743877873,0.14152812581619592,0.3212971074978917,-0.37616874055675115,-0.34045731038982924,-0.4574611084827541,-0.16685456410959962,-0.3124596479748336,-0.26808290006505625,-0.3115950091504921,-0.34045731038982924,-0.26808290006505625,-0.2349813495939719,-0.3124596479748336,-0.4574611084827541,6,1,4,7,5,2,0,1,2,3,5,4,M
3219,955,g2pre,V1,0.021310184146691193,0.06416991812327592,-0.13395717165417348,-0.30542188025872297,0.4386597418557107,-0.083830731715398,0.2613289629332643,0.152612691264238,0.2768684283430362,0.49634458209028504,-0.24145009031340625,-0.18440389491460385,-0.12846877494347606,-0.2281066400956147,-0.38950696230424836,-0.31026970267952697,-0.15197890954176269,-0.38950696230424836,-0.12846877494347606,-0.10443384407452706,-0.18440389491460385,-0.31026970267952697,6,1,4,7,5,2,3,5,4,0,1,2,
3220,956,g2pre,V1,0.07683937027702593,0.19483224213967604,-0.5450610101779458,0.13751518936016893,-0.18644916196867883,-0.013893500822488511,0.21135835683904766,-0.9318637148399516,0.2004949346955182,-0.803620719409932,0.12117359538591005,0.035679233839201775,0.1598136032083884,-0.07335418398186386,-0.11267247240379988,-0.0025871812587385445,-0.164316910770954,-0.11267247240379988,0.1598136032083884,-0.023761639767234735,0.035679233839201775,-0.0025871812587385445,6,1,4,7,5,2,3,5,4,0,1,2,
3221,957,g2pre,V1,0.03416799377862597,0.05649205840535359,-0.2836409649265752,-0.6222475121716666,0.3418143535886609,0.38769227874476114,0.09676967227152045,-0.178424371230241,0.8579258596911549,0.4761876960893119,-0.20310662850585903,-0.11334732404850933,-0.04729490021519873,-0.1807360760143538,-0.2194632318828561,-0.12600584213805263,0.05559903391131386,-0.11334732404850933,-0.12600584213805263,-0.016782182042689574,-0.2194632318828561,-0.04729490021519873,6,1,4,7,5,2,0,1,2,3,5,4,
3222,958,g2pre,V1,0.3037936353640024,0.06257154496345649,0.18988936220248334,0.2359429270745572,0.10606373716239817,0.342501537035423,0.25611989196670687,0.18462821269977747,0.35378125123341125,0.0921076621567704,0.5333996737314092,0.7834566884602694,0.8628302484368754,0.309635511692289,0.5228521656860418,0.4498597676759685,0.42257647123395486,0.5228521656860418,0.8628302484368754,0.3739779971604288,0.7834566884602694,0.4498597676759685,6,1,4,7,5,2,3,5,4,0,1,2,M
3223,959,g2pre,V1,0.08352408203196279,0.06339237386628589,-0.8935602932943549,-0.8082703204244077,-0.3206369402277102,-0.7628590069684675,-0.2871350999935348,-0.9318643273476884,-0.8069797444065567,-0.9064547327417957,-0.28225070226819826,-0.01586571184095867,-0.029926851143122442,-0.20663665259674974,-0.11444332198833874,-0.007287948289117948,0.22247026300021827,-0.11444332198833874,-0.029926851143122442,0.14852855644118954,-0.01586571184095867,-0.007287948289117948,7,5,2,6,1,4,0,1,2,3,5,4,A
3224,960,g2pre,V1,0.16305882805751962,0.04712888521262985,0.04458564968747826,0.25664711791337774,-0.06983061412204375,0.5871148992322269,0.6862539467040263,0.734361396877916,0.8799874977951988,0.7387422637092246,-0.14712607417079773,-0.16085773227437847,-0.24871842368817004,0.010467214205202817,0.05625690292865336,0.06834071568285056,0.06470365282121003,0.05625690292865336,-0.24871842368817004,0.010268652835127097,-0.16085773227437847,0.06834071568285056,7,5,2,6,1,4,0,1,2,3,5,4,
3225,961,g2pre,V1,0.14924498747288456,0.011516418873301092,-0.4127754265884429,-0.47774423773529007,-0.36391254356656827,-0.5376035359908106,0.8492177262692991,0.6117562926410375,-0.015159877277793759,-0.39566017537646053,0.13986969469244517,0.05813728088215302,0.04943193291099156,-0.009030246261008,0.11074837277130793,0.03748819609797561,0.1246592207439948,0.05813728088215302,0.03748819609797561,0.11415792463905197,0.11074837277130793,0.04943193291099156,7,5,2,6,1,4,3,5,4,0,1,2,
3226,962,g2pre,V1,0.8466905452348297,0.08659548919123604,-0.03685066601010164,0.04647578801256826,-0.3058445419140527,0.6683475707908183,-0.4684821800617854,-0.3762795296819429,0.6785886526386765,-0.10108334676661947,1.1035619662869172,1.0251186672194041,1.2111395429422225,0.35359567889123533,0.12798412329112147,0.16024714339204169,-0.24076360259732074,0.12798412329112147,1.2111395429422225,-0.19628678623455217,1.0251186672194041,0.16024714339204169,7,5,2,6,1,4,0,1,2,3,5,4,V
