,Group,Region,Predictor,FR
186,g1pre,V1,Adrive,0.22621204934570135
187,g1pre,V1,Adrive,-0.05753728455843604
188,g1pre,V1,Adrive,-0.04881829366028429
189,g1pre,V1,Adrive,0.08206748037622318
190,g1pre,V1,Adrive,-0.07000217319118107
191,g1pre,V1,Adrive,-0.08846745200997982
192,g1pre,V1,Adrive,-0.0040265613551519926
193,g1pre,V1,Adrive,-0.07244715261088511
194,g1pre,V1,Adrive,-0.130643729421473
195,g1pre,V1,Adrive,-0.14254243443052922
196,g1pre,V1,Adrive,0.22022201889687004
197,g1pre,V1,Adrive,-0.03741263992139873
198,g1pre,V1,Adrive,0.14921567434771618
199,g1pre,V1,Adrive,0.06758268010239003
200,g1pre,V1,Adrive,-0.07238089437242491
201,g1pre,V1,Adrive,-0.06727637446451844
202,g1pre,V1,Adrive,-0.08676883862550201
203,g1pre,V1,Adrive,0.008513664004817128
204,g1pre,V1,Adrive,-0.04817319583237716
205,g1pre,V1,Adrive,-0.10291275607488742
206,g1pre,V1,Adrive,0.044108540880952944
207,g1pre,V1,Adrive,-0.10067257173985432
208,g1pre,V1,Adrive,-0.06472116737193787
209,g1pre,V1,Adrive,0.12261284262112597
210,g1pre,V1,Adrive,-0.1443152091118242
211,g1pre,V1,Adrive,-0.05036018476783164
212,g1pre,V1,Adrive,0.01744192764337726
213,g1pre,V1,Adrive,-0.06667501474117223
214,g1pre,V1,Adrive,-0.10780323584903087
215,g1pre,V1,Adrive,0.018160787363330964
216,g1pre,V1,Adrive,-0.0548661891778437
217,g1pre,V1,Adrive,-0.008190665514592552
218,g1pre,V1,Adrive,-0.025207486896738893
219,g1pre,V1,Adrive,0.08052173122958145
220,g1pre,V1,Adrive,-0.02276164093774822
221,g1pre,V1,Adrive,-0.0007066115613419879
222,g1pre,V1,Adrive,0.013089809287075786
223,g1pre,V1,Adrive,-0.033782669611189295
224,g1pre,V1,Adrive,0.14750436506371115
225,g1pre,V1,Adrive,0.08396540204624879
226,g1pre,V1,Adrive,-0.02870955142519649
227,g1pre,V1,Adrive,0.0278923389442928
