group,session_index,session_name,area,task,analysis,score,n_neurons,n_samples,n_classes,signal_source,scoring
g2pre,4,Ocho_20220804_006,A/RL/AL,visual_direction,averaged_trial_response,0.8870370370370371,15,540,2,glm_clean,balanced_accuracy
g2pre,4,Ocho_20220804_006,A/RL/AL,auditory_direction,averaged_trial_response,0.5111111111111111,15,540,2,glm_clean,balanced_accuracy
g2pre,4,Ocho_20220804_006,A/RL/AL,congruency,averaged_trial_response,0.4888888888888888,15,360,2,glm_clean,balanced_accuracy
g2pre,4,Ocho_20220804_006,A/RL/AL,modality,averaged_trial_response,0.675,15,720,3,glm_clean,balanced_accuracy
g2pre,4,Ocho_20220804_006,A/RL/AL,trial_type,averaged_trial_response,0.3638888888888889,15,720,8,glm_clean,balanced_accuracy
g2pre,4,Ocho_20220804_006,LM,visual_direction,averaged_trial_response,0.9555555555555555,71,540,2,glm_clean,balanced_accuracy
g2pre,4,Ocho_20220804_006,LM,auditory_direction,averaged_trial_response,0.5037037037037037,71,540,2,glm_clean,balanced_accuracy
g2pre,4,Ocho_20220804_006,LM,congruency,averaged_trial_response,0.48611111111111105,71,360,2,glm_clean,balanced_accuracy
g2pre,4,Ocho_20220804_006,LM,modality,averaged_trial_response,0.7138888888888888,71,720,3,glm_clean,balanced_accuracy
g2pre,4,Ocho_20220804_006,LM,trial_type,averaged_trial_response,0.4,71,720,8,glm_clean,balanced_accuracy
g2pre,5,Once_20230721_003,AM/PM,visual_direction,averaged_trial_response,0.5166666666666667,5,540,2,glm_clean,balanced_accuracy
g2pre,5,Once_20230721_003,AM/PM,auditory_direction,averaged_trial_response,0.4796296296296296,5,540,2,glm_clean,balanced_accuracy
g2pre,5,Once_20230721_003,AM/PM,congruency,averaged_trial_response,0.5083333333333333,5,360,2,glm_clean,balanced_accuracy
g2pre,5,Once_20230721_003,AM/PM,modality,averaged_trial_response,0.3694444444444444,5,720,3,glm_clean,balanced_accuracy
g2pre,5,Once_20230721_003,AM/PM,trial_type,averaged_trial_response,0.16527777777777777,5,720,8,glm_clean,balanced_accuracy
g2pre,5,Once_20230721_003,A/RL/AL,visual_direction,averaged_trial_response,0.7537037037037037,111,540,2,glm_clean,balanced_accuracy
g2pre,5,Once_20230721_003,A/RL/AL,auditory_direction,averaged_trial_response,0.6333333333333333,111,540,2,glm_clean,balanced_accuracy
g2pre,5,Once_20230721_003,A/RL/AL,congruency,averaged_trial_response,0.5472222222222223,111,360,2,glm_clean,balanced_accuracy
g2pre,5,Once_20230721_003,A/RL/AL,modality,averaged_trial_response,0.6972222222222222,111,720,3,glm_clean,balanced_accuracy
g2pre,5,Once_20230721_003,A/RL/AL,trial_type,averaged_trial_response,0.38055555555555554,111,720,8,glm_clean,balanced_accuracy
g2pre,6,Quatro_20220128_001,V1,visual_direction,averaged_trial_response,0.9962962962962962,334,540,2,glm_clean,balanced_accuracy
