group_base,area,task,time_index,time_s,stimulus_offset_s,pre,post,delta_post_minus_pre
g1,V1,auditory_direction,26,0.711651678851006,1.0351297146923724,0.5448148148148149,0.5580246913580247,0.01320987654320982
g1,V1,auditory_direction,27,0.7763472860192793,1.0351297146923724,0.5511111111111111,0.5216049382716049,-0.029506172839506184
g1,V1,auditory_direction,28,0.8410428931875525,1.0351297146923724,0.5144444444444444,0.5453703703703704,0.030925925925926023
g1,V1,auditory_direction,29,0.9057385003558258,1.0351297146923724,0.5640740740740741,0.5518518518518519,-0.012222222222222134
g1,V1,auditory_direction,30,0.9704341075240992,1.0351297146923724,0.5422222222222223,0.5438271604938272,0.0016049382716049054
g1,V1,auditory_direction,31,1.0351297146923724,1.0351297146923724,0.5451851851851852,0.5441358024691357,-0.001049382716049485
g1,V1,auditory_direction,32,1.0998253218606455,1.0351297146923724,0.532962962962963,0.5354938271604938,0.002530864197530791
g1,V1,auditory_direction,33,1.164520929028919,1.0351297146923724,0.535925925925926,0.5416666666666666,0.005740740740740602
g1,V1,auditory_direction,34,1.229216536197192,1.0351297146923724,0.5418518518518519,0.5493827160493828,0.0075308641975309065
g1,V1,auditory_direction,35,1.2939121433654657,1.0351297146923724,0.5277777777777778,0.5302469135802469,0.0024691358024691024
g1,V1,auditory_direction,36,1.3586077505337386,1.0351297146923724,0.5074074074074073,0.5314814814814816,0.024074074074074248
g1,V1,auditory_direction,37,1.423303357702012,1.0351297146923724,0.5277777777777778,0.537962962962963,0.010185185185185186
g1,V1,auditory_direction,38,1.4879989648702852,1.0351297146923724,0.5325925925925926,0.5512345679012346,0.018641975308641978
g1,V1,auditory_direction,39,1.5526945720385583,1.0351297146923724,0.5222222222222223,0.5373456790123456,0.01512345679012339
g1,V1,auditory_direction,40,1.6173901792068317,1.0351297146923724,0.5199999999999999,0.5237654320987654,0.0037654320987654533
g1,V1,auditory_direction,41,1.682085786375105,1.0351297146923724,0.5318518518518519,0.5435185185185185,0.011666666666666603
g1,V1,auditory_direction,42,1.7467813935433782,1.0351297146923724,0.5333333333333334,0.5182098765432098,-0.015123456790123613
g1,V1,auditory_direction,43,1.8114770007116516,1.0351297146923724,0.5196296296296297,0.5172839506172839,-0.002345679012345725
g1,V1,auditory_direction,44,1.8761726078799248,1.0351297146923724,0.5129629629629628,0.5101851851851852,-0.002777777777777657
g1,V1,auditory_direction,45,1.9408682150481984,1.0351297146923724,0.5288888888888889,0.524074074074074,-0.004814814814814827
g1,V1,auditory_direction,46,2.0055638222164713,1.0351297146923724,0.5062962962962962,0.5283950617283951,0.022098765432098877
g1,V1,congruency,0,-0.9704341075240992,1.0351297146923724,0.4811111111111111,0.525925925925926,0.04481481481481492
g1,V1,congruency,1,-0.9057385003558258,1.0351297146923724,0.4855555555555556,0.5060185185185185,0.02046296296296296
g1,V1,congruency,2,-0.8410428931875525,1.0351297146923724,0.5216666666666667,0.5046296296296297,-0.017037037037037073
g1,V1,congruency,3,-0.7763472860192793,1.0351297146923724,0.5044444444444445,0.5074074074074074,0.002962962962962945
g1,V1,congruency,4,-0.711651678851006,1.0351297146923724,0.5011111111111111,0.4773148148148148,-0.02379629629629626
